Key,English(en),Spanish(es),Portuguese (Brazil)(pt-BR),Italian(it),Korean(ko)
Animal_Category_0,Alpha male,Animal Alfa,Macho alfa,Maschio alfa,우두머리 수컷
Animal_Category_1,Primary consumers,Consumidor Primario,Consumidor primário,Consumatori primari,1차 소비자
Animal_Category_2,Secondary consumers,Consumidor Secundario,Consumidor secundário,Consumatori secondari,2차 소비자
Animal_Category_3,Tertiary consumer,Consumidor Terciario,Consumidor terciário,Consumatori terziari,3차 소비자
Animal_Type_0,Decomposer,Descomponedor,Decompositor,Decompositori,분해자
Animal_Type_1,Predator,Depredador,Predador,Predatore,프레데터
Animal_Type_2,Prey,Presa,Presa,Preda,프레데터
Animal_Type_3,Mushroom,Hongo ,Cogumelo,Fungo,버섯
Animal_Word,Animal,Animal ,Animal,Animale,동물
AnimalTitle_Toucan,Toucan,Tucán,Tucano,Tucano,투칸
AnimalTitle_xxxxxxxxxx,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxxxx
AnimalTitle_Anaconda,Anaconda,Anaconda,Sucuri gigante,Anaconda,아나콘다
AnimalTitle_Titan beetle,Titan beetle,Escarabajo Titán,Besouro Titã,Scarabeo Titano ,타이탄 비틀 
AnimalTitle_Titi monkey,Titi monkey,Mono Tití,Macaco Tití,Scimmia Titi,티티 원숭이
AnimalTitle_Squirrel monkey,Squirrel monkey,Mono Ardilla,Macaco esquilo,Scimmia scoiattolo,다람쥐 원숭이
AnimalTitle_Golden poison frog,Golden poison frog,Rana Venenosa Dorada,Rã venenosa dourada,Rana velenosa dorata,황금 독개구리
AnimalTitle_Blue macaw,Blue macaw,Guacamayo Azul,Arara azul,Ara blu ,블루아라라
AnimalTitle_Capybara,Capybara,Chiguiro,Capivara,Capibara,카피바라
AnimalTitle_Jaguar,Jaguar,Jaguar,Jaguar,Giaguaro,재규어
AnimalTitle_Harpy eagle,Harpy eagle,Águila Harpía,Águia harpia,Aquila arpia,하피 독수리
AnimalTitle_Red squirrel,Red squirrel,Ardilla Roja,Esquilo vermelho,Scoiattolo rosso ,붉은 다람쥐 
AnimalTitle_Red fox,Red fox,Zorro Rojo,Raposa vermelha,Volpe rossa,붉은 여우
AnimalTitle_Brown bear,Brown bear,Oso Pardo,Urso pardo,Orso bruno,갈색 곰
AnimalTitle_Fly agaric,Fly agaric,Amanita Muscaria,Cogumelos mata-moscas,Ovolo malefico,광대버섯
AnimalTitle_Ice worm,Ice worm,Gusano de las nieves,Minhoca do gelo,verme del ghiacciaio,빙하 벌레
AnimalTitle_White goat,White goat,Cabra blanca ,Cabra branca,Capra bianca,흰염소
AnimalTitle_Snowy owl,Snowy owl,Búho Nival,Coruja nevada,Gufo delle nev,눈덮인 올빼미
AnimalTitle_Canadian lynx,Canadian lynx,Lince Canadiense,Lince Canadense,Lince Canadese,캐나다스라소니
AnimalTitle_Okapi,Okapi,Okapi,Ocapi,Okapi,오카피
AnimalTitle_Lion,Lion,León,Leão,Leone ,사자
AnimalTitle_Hyena,Hyena,Hiena,Hiena,Iena,하이에나
AnimalTitle_Termite,Termite,Termita,Cupim,Termite,흰개미
AnimalTitle_Cóndor,Condor,Cóndor,Condor,Condor,콘도르